date,precip_mm,CEDI,EDI,SPI6,SPI3
2010-01-01,0.0,-0.7427118100404055,-0.04933917913568368,-0.21467142425102415,0.30417790128347927
2010-01-02,2.5,-0.6771288864084549,0.02783458821338618,-0.18108067232040426,0.34700604872952356
2010-01-03,0.0,-0.7875583603709918,0.025110617566835115,-0.17097010193676523,0.3714561491557032
2010-01-04,13.5,-0.2988904033316255,0.43119604775330883,-0.0915625588861498,0.4874129104218493
2010-01-05,0.0,-0.4013609132703016,0.36751961303281466,-0.6288538319562774,0.4853031860658811
2010-01-06,0.0,-0.46207440422591045,0.3197532621769913,-0.6030891630444396,0.4974489412562279
2010-01-07,0.0,-0.4895153352999221,0.27466937552218096,-0.5806329989376836,0.5192301637742338
2010-01-08,0.0,-0.5125789362194357,0.2504860973032772,-1.1866215030234784,0.5406592045628257
2010-01-09,0.0,-0.5638356650006048,0.22350449566640168,-1.1598389247419374,0.561975133647184
2010-01-10,0.0,-0.5761489040961423,0.21027477358182925,-1.284120047366285,0.582664935749206
2010-01-11,0.0,-0.5428974249143448,0.19572736987231465,-1.2642276997100765,0.6042407330519223
2010-01-12,0.0,-0.5543489671034219,0.16988907994028862,-1.2395012373607228,0.5700269926574674
2010-01-13,0.0,-0.6002917777559674,0.14262173815500867,-1.3547915200975136,0.5906729451202631
2010-01-14,0.0,-0.5856109668514494,0.10917714341308575,-1.434104767332953,0.6113056281501543
2010-01-15,0.0,-0.6065741446764273,0.09177740960756967,-1.4142091177618996,0.6292088996615817
2010-01-16,0.0,-0.6465975767803359,0.07618327064024703,-1.396465154994338,0.6335812573138121
2010-01-17,0.0,-0.6814068108312957,0.07389383596284577,-1.3750718406671663,0.6042457685547876
2010-01-18,0.0,-0.7126253407844408,0.07040917101404037,-1.3535472131988715,0.621469516689917
2010-01-19,0.0,-0.7220843868971089,0.060356882262193316,-1.4619159700300375,0.6370709422453676
2010-01-20,5.5,-0.5246841006748735,0.21328246119493602,-1.4365576400518782,0.6916965618469473
2010-01-21,14.0,-0.11770300878246237,0.6179687210244221,-1.4095070166725718,0.8060112051169729
2010-01-22,0.0,-0.2277433510557833,0.5367252981859727,-1.3851403668877345,0.8211405050079614
2010-01-23,0.0,-0.28136131621352994,0.46947688426635764,-1.3602015726037087,0.838203164039474
2010-01-24,0.0,-0.317486459946263,0.44074924749877165,-1.3361600515212504,0.8555789984580346
2010-01-25,0.0,-0.3403418304888538,0.42412553503275985,-1.3783973527485873,0.8720869800510781
2010-01-26,0.0,-0.3783092947673059,0.41331385444970614,-1.3552159462731634,0.8868054643390658
2010-01-27,0.1,-0.41195048170967813,0.3921209670089314,-1.3307367793500273,0.9029330566277157
2010-01-28,0.0,-0.4388801951251009,0.33899516902390714,-1.306719520431104,0.9163254609400743
2010-01-29,0.0,-0.4635626412258711,0.29540876920941295,-1.2818879018562446,0.8526352708861982
2010-01-30,0.0,-0.48418156020018993,0.2436922220196786,-1.2547625626429963,0.4721166938891416
2010-01-31,0.0,-0.4766701708690284,0.20029634867827623,-1.2241426477454893,0.11148156807439367
2010-02-01,0.2,-0.4814343494081476,0.18708190359229285,-1.1933364434628855,0.12567917032950554
2010-02-02,0.0,-0.5172620719269534,0.1878071576628119,-1.1837059280621327,0.13753180782510468
2010-02-03,0.0,-0.5462026847342537,0.1895480867144126,-1.187393482149121,0.14857288037677316
2010-02-04,0.0,-0.5418715974021102,0.18950263027665748,-1.157695803853668,0.15799291952194508
2010-02-05,0.0,-0.5668274205779299,0.18586562100443735,-1.125226339984231,0.16796541630885103
2010-02-06,0.0,-0.5868686104417732,0.1869776091445681,-1.0897979892289713,0.13572436117664108
2010-02-07,0.0,-0.6017376148414524,0.18712118528413224,-1.3878684789270062,-0.10287842273155813
2010-02-08,0.0,-0.6369704311687693,0.19513422959381652,-1.9127123947623454,-0.5232194594799501
2010-02-09,10.0,-0.305389801420652,0.5506746186892858,-1.8013732493802048,-0.5278156422896815
2010-02-10,18.5,0.31787852973061753,1.130981581647164,-1.6306068463111525,-0.32563475956542803
2010-02-11,28.5,-0.19133824380230077,-0.5449773040772307,-1.404974345442266,-0.08168658790514126
2010-02-12,33.5,0.7950069588299321,0.30456726977654036,-1.1628469440431435,0.28468855400077075
2010-02-13,0.1,0.4614963929875374,0.009529363152119425,-1.1205092177417018,0.29267256637977573
2010-02-14,0.0,0.23669630497981303,-0.1983083428786623,-1.0749887072204702,0.29815863765177164
2010-02-15,0.5,0.05935640491626947,-0.3360728556900312,-1.0266634869805977,0.3078254288024913
2010-02-16,2.0,-0.01448661013577256,-0.40020818160607124,-0.9743697839350152,0.33042800764711255
2010-02-17,0.0,-0.13379845073160984,-0.5171019148298149,-0.9312925666240133,0.3332551012882179
2010-02-18,0.0,-0.22589233293936248,-0.6003973262258651,-0.8895305480383752,0.33500753552287527
2010-02-19,0.0,-0.30528842659671473,-0.6849637309323884,-0.8602033720413246,0.3362444019093995
2010-02-20,0.0,-0.36383615260533136,-0.7507444952394514,-0.8190105335324422,0.3370359159986519
2010-02-21,0.0,-0.42293777053715564,-0.7805630098307299,-0.7797201838576897,0.3374829129862681
2010-02-22,0.0,-0.47292876428975567,-0.7778983648433982,-0.7470350597786023,0.33594630766171474
2010-02-23,0.0,-0.49757332211178684,-0.7857620633030609,-0.7405558281937193,0.33258979482983847
2010-02-24,0.0,-0.534300913173235,-0.8265022483663217,-0.7011925662060736,0.3302437092864404
2010-02-25,0.1,-0.5652651134055404,-0.83348713526633,-0.6908601609339604,0.32817835022454467
2010-02-26,1.0,-0.5885015957739094,-0.8402841844339116,-0.6471646095082504,0.23103023639642337
2010-02-27,0.3,-0.6536412311799269,-0.900689795748298,-0.6079388710846002,0.19023576241656295
2010-02-28,0.0,-0.701345683311003,-0.9374552101804657,-0.5710815511533989,0.17058174517962638
2010-03-01,43.0,0.4048565230235649,0.05887314029279056,-0.31102407773429985,0.571093330957902
2010-03-02,0.5,0.16488202232918237,-0.1848714016022444,-0.27269934363954956,0.5689761507575734
2010-03-03,0.0,0.00920409874427846,-0.2952954526708127,-0.23855650670209244,0.5543704368171404
2010-03-04,6.5,0.08127050325389959,-0.23483147558927311,-0.17232293533457507,0.604776870760525
2010-03-05,3.0,0.05133392621550439,-0.26236362394779433,-0.1232192592113445,0.6120718732679219
2010-03-06,9.0,0.2036529694786027,-0.12060773678692606,-0.05663964004163946,0.6834326994071593
