date,precip_mm,CEDI,EDI,SPI6,SPI3
2010-01-01,0.0,0.8039690692099886,-0.8603036913201301,0.7016479355324349,-0.7267480625064391
2010-01-02,0.0,0.7722328082244965,-0.9192078784885309,0.7377186609239438,-0.7173644565560213
2010-01-03,0.0,0.7311691982412332,-0.9526639410559521,0.10744315945964066,-0.7063450881962151
2010-01-04,5.1,0.9160729584589814,-0.8402385286999049,0.1566641306555261,-0.5818369016484527
2010-01-05,3.6,0.9870521508484789,-0.7820455445762624,0.18402518179858407,-0.4922590686100619
2010-01-06,0.3,0.9610066209345586,-0.8503506806313299,0.21959637965032608,-0.4749916522458644
2010-01-07,0.1,0.9237795928952259,-0.893628873460038,0.02478043529327785,-0.46272099523094773
2010-01-08,0.0,0.9115340461931427,-0.9430708010956763,0.0005596692105776346,-0.4540188134944008
2010-01-09,0.0,0.8838094052310836,-0.9764322414409016,0.02579035074527808,-0.44485823858056117
2010-01-10,0.0,0.8818230486828742,-1.013368624978453,0.04680818935569848,-0.4356279928380854
2010-01-11,0.0,0.8454207790661029,-1.0113880674812656,-0.21675899502125714,-0.5629460031699831
2010-01-12,2.3,0.9227213551271236,-0.9956500832085566,-0.8024422740521769,-0.5102649592911253
2010-01-13,1.8,0.9652632737844272,-0.9786590565062911,-0.7699981948354998,-0.45844638047403186
2010-01-14,0.2,0.9737411089752417,-1.0389711409391982,-0.7411235669250965,-0.44445512052416114
2010-01-15,0.0,0.9731554762947909,-1.0710292179793346,-0.7570407940635802,-0.6289103422777234
2010-01-16,0.0,0.9706649901314587,-1.0778994358915701,-0.7960155550239294,-0.6286222050086423
2010-01-17,0.0,0.9388765392441257,-1.0625044290867331,-1.0602790037731362,-0.624558570180033
2010-01-18,0.0,0.8865228873605882,-1.0541709820924081,-1.0343786603207659,-0.6211008805157451
2010-01-19,0.0,0.8443666247196234,-1.0573392591377397,-1.006926901507265,-0.6187313375907312
2010-01-20,10.0,1.1737741780377025,-0.8571719563264819,-0.9695520217224943,-0.3716779193245577
2010-01-21,0.1,1.0924500663078474,-0.9445632102710837,-0.9580028886197318,-0.36632332150218544
2010-01-22,0.0,1.034490207472088,-1.0129457435544427,-0.9239889873635267,-0.3607712065003039
2010-01-23,1.8,1.0371067975607928,-0.9767553148161096,-0.9033551754483763,-0.3089387574347617
2010-01-24,0.0,1.0007701750085565,-1.0226038184736785,-0.9189010610358418,-0.29918081909309424
2010-01-25,0.0,1.0064083120612692,-1.0603344918230195,-0.8883560619367288,-0.2901522610375874
2010-01-26,0.0,1.0226681569569254,-1.0804305583249387,-0.8737366414344766,-0.28218137020198436
2010-01-27,11.5,-0.9388892791584706,-0.7615571307991446,-0.8353458017877043,-0.010430090254149234
2010-01-28,0.0,-0.9706104049340204,-0.8230387405697372,-0.8032016874234064,-0.0016342357974602764
2010-01-29,0.0,-1.0793792574699819,-0.8737507001739542,-0.7711979873562902,-0.02695424365418804
2010-01-30,0.2,-1.0771316758288467,-0.9058319396586851,-0.7388797009842092,-0.07128354692701253
2010-01-31,0.1,-1.095416463604839,-0.9530283692817562,-0.7052702622354112,-0.07168153939526739
2010-02-01,0.0,-1.085286076224762,-0.9742850755008444,-0.6698952947469891,-0.06245736627677377
2010-02-02,0.0,-1.0767061644846598,-0.9982149123967624,-0.6383437415606474,-0.05227539854463448
2010-02-03,0.0,-1.0770512549778497,-1.0321046949614767,-1.0052797442047516,-0.04190646293527786
2010-02-04,0.0,-1.079626489139941,-1.0336258019397604,-1.145905314134117,-0.03299400585937722
2010-02-05,0.0,-1.0565597023528766,-1.0252396505188204,-1.1089915887849227,-0.023682497446463547
2010-02-06,0.0,-1.0692040128422684,-1.0413572661960768,-1.0687847254159286,-0.2268206584741708
2010-02-07,0.1,-1.0688857103682985,-1.0503053129614959,-1.247647839077257,-0.2148025444224249
2010-02-08,7.5,-0.8012232939212074,-0.9158413009245271,-1.2116169445728662,-0.12084064273258778
2010-02-09,5.0,-0.8957240041498103,-0.8030994718367575,-1.1337968940198726,0.005707073361843933
2010-02-10,9.0,-0.6444833504156441,-0.5560362132945081,-1.0235186597508696,0.21464799351940594
2010-02-11,25.5,0.16214109066142912,0.20378552477739997,-0.7947601514314032,0.6435417018171419
