date,precip_mm,CEDI,EDI,SPI6,SPI3
2010-01-01,0.0,-0.9097051753986974,-0.6779413600607704,0.5505018985325503,0.3574165439076807
2010-01-02,1.4,-0.8862925043851347,-0.6745654978375861,0.5799823950680141,0.40899163184548615
2010-01-03,0.0,-0.9752984738989866,-0.7050829603398829,0.6065618152465467,0.43583468529725994
2010-01-04,14.2,-0.6436253913604828,-0.4083714106120628,0.6753103088996868,0.6804136953820026
2010-01-05,0.0,-0.7074963797233376,-0.4813683120545009,0.15184229590840986,0.7020731268963363
2010-01-06,0.0,-0.7307795876656027,-0.5095139869440054,0.1855535132866932,0.7245902245961253
2010-01-07,0.0,-0.8328458768613822,-0.5071237201857282,0.21633048658738563,0.7480771686201098
2010-01-08,0.0,-0.8572623001611621,-0.574596732819925,-0.1128975952964695,0.7713401166509019
2010-01-09,0.4,-0.861758861605938,-0.5799219330791165,-0.08866947975750859,0.8000766260666432
2010-01-10,0.0,-0.8854229549050289,-0.5859288570264527,-0.5439788775947428,0.82352918305747
2010-01-11,0.0,-0.9272810532354572,-0.6169680197536206,-0.5006581927002807,0.6374595077404261
2010-01-12,0.0,-0.953657953817458,-0.6398448872163395,-0.4589775994326125,0.6528141601305941
2010-01-13,0.0,-0.9641362875674746,-0.6518696371803621,-0.6335661557911649,0.6730396930733339
2010-01-14,0.0,-0.9956097293301732,-0.6739760143916268,-0.648115675633709,0.65083815188082
2010-01-15,0.3,-1.0178329408120592,-0.6836709193927673,-0.6047243345721893,0.43686508193021967
2010-01-16,0.0,-1.0451348110676615,-0.7061067245540872,-0.5779058751262283,0.4475396640013276
2010-01-17,0.0,-1.0606425274449995,-0.7186901454059429,-0.5378080799180373,0.2760475954134477
2010-01-18,0.0,-1.0805307830893707,-0.7345795802225721,-0.49752872713006546,0.29381408694532646
2010-01-19,3.0,-1.0139973514599392,-0.6833341400555444,-0.44492935145665596,0.3702688834491622
2010-01-20,7.0,-0.8373660301058778,-0.5444252149494423,-0.38095477288230367,0.5228528693791051
2010-01-21,0.5,-0.8832728705022125,-0.58555697579763,-0.42624514600040375,0.4780899192485047
2010-01-22,0.0,-0.9386658052777792,-0.6269197450846834,-0.4276081901525062,0.5018954915471197
2010-01-23,0.0,-0.9786840898983635,-0.6599714792083858,-0.38809723045839345,0.527719418694941
2010-01-24,0.0,-0.99792887501833,-0.673476100164815,-0.35031097614010026,0.5534194522197173
2010-01-25,0.0,-1.0191606464713068,-0.6911524166515383,-0.3106450485389077,0.5800169302203451
2010-01-26,0.0,-1.0412436977077912,-0.7112768508892319,-0.270894278454059,0.6052699469950317
2010-01-27,2.5,-0.9843408986069707,-0.6727657963861761,-0.2208082476638765,0.6800749711344279
2010-01-28,0.0,-1.0175476625854525,-0.7002087016280496,-0.26813045424039644,0.7073798985370015
2010-01-29,0.0,-1.0464784207525628,-0.7252138122025757,-0.23479002117215292,0.33325881794957585
2010-01-30,0.0,-1.0771160914303664,-0.7494470895615556,-0.19517747859028756,0.2700631770536665
2010-01-31,0.0,-1.1041736050744921,-0.7769928572828632,-0.15555465978525967,0.2947673884607994
2010-02-01,0.0,-1.089015447051459,-0.7865849449697808,-0.1152110378574091,0.31958957496927154
2010-02-02,0.0,-1.1210552417909165,-0.8138028541660608,-0.0761954815429316,0.34689444643843065
2010-02-03,0.0,-1.137411753361576,-0.8338847128363874,-0.03765694761926652,0.3677957732063615
2010-02-04,0.0,-1.1491372177033876,-0.8458306901483554,0.001302566226303301,0.39206794310466775
2010-02-05,0.0,-1.1599847370842347,-0.8591884314203992,0.04279961232086993,0.3133982917884313
2010-02-06,0.0,-1.1715241685377265,-0.8711423064188746,0.08439546717795864,-0.5926558989498375
2010-02-07,0.0,-1.191101229693046,-0.8881906463432059,-0.38787815303094353,-0.5672127592410815
2010-02-08,0.0,-1.1947094631110973,-0.9064184490948062,-0.7811184826667944,-0.5420481755685308
2010-02-09,12.0,-0.8499840211701142,-0.6243108033391512,-0.6736800432717825,-0.15376863113247138
2010-02-10,2.0,-0.8697706863001652,-0.6460873871663901,-0.6246580621605543,-0.07200345244563562
2010-02-11,10.5,-0.6057246925474081,-0.43353673793438696,-0.5261966701771277,0.16885070323811932
2010-02-12,0.3,-0.6473128942525697,-0.4808858697529819,-0.48451965663002905,0.20277181994555513
2010-02-13,1.3,-0.6181130568007603,-0.47981070467521236,-0.4368414242239768,0.26229497876873875
2010-02-14,0.0,-0.6782692325052786,-0.5263988478435293,-0.3956656819859532,0.28550585449088806
